,Float32,Float64
2,0.0000e+00,0.0000e+00
3,1.1921e-07,2.2204e-16
4,1.1921e-07,2.2204e-16
5,1.1921e-07,2.2204e-16
6,2.3842e-07,2.2204e-16
7,1.4901e-06,3.3307e-16
8,1.2517e-06,1.8874e-15
9,1.2517e-06,1.5543e-15
10,2.9206e-06,4.4409e-15
11,2.9802e-06,6.2172e-15
12,2.7418e-06,6.2172e-15
13,3.3975e-06,4.8850e-15
14,6.1393e-06,7.7716e-15
15,4.8876e-06,8.6597e-15
16,5.9605e-06,7.9936e-15
17,6.2585e-06,7.7716e-15
18,7.5698e-06,7.9936e-15
19,6.3777e-06,7.5495e-15
20,5.7220e-06,7.9936e-15
30,1.2577e-05,2.9532e-14
50,4.3869e-05,8.8152e-14
100,1.9872e-04,5.4934e-13
150,5.4419e-04,1.0950e-12
200,1.3801e-03,1.6424e-12
300,3.1228e-03,4.9534e-12
400,6.0159e-03,7.6616e-12
500,8.4233e-03,1.1454e-11
